show_character_id,fb_action_id,tv_show_name,episode_number,user_id,episode_id,created_at,updated_at,episode_season_number
69131456,,Chillin' in Another World With Level 2 Super Cheat Powers,4,75184478,10381462,2025-11-29 09:56:49,2025-11-29 09:56:49,1
64362249,,My Hero Academia,11,75184478,10412508,2024-07-25 14:32:29,2024-07-25 14:32:30,7
69063841,,Solo Leveling,1,75184478,10414110,2025-01-05 01:59:40,2025-01-05 01:59:40,2
67482808,,BLUE LOCK,1,75184478,10485277,2024-10-27 18:54:35,2024-10-27 18:54:35,2
69124884,,Makeine: Too Many Losing Heroines!,6,75184478,10535663,2024-09-14 15:05:58,2024-09-14 15:05:58,1
69124881,,Makeine: Too Many Losing Heroines!,7,75184478,10535664,2024-10-03 08:15:50,2024-10-03 08:15:50,1
69124881,,Makeine: Too Many Losing Heroines!,9,75184478,10535666,2024-10-10 16:13:42,2024-10-10 16:13:42,1
67482808,,BLUE LOCK,2,75184478,10559626,2024-10-27 18:54:52,2024-10-27 18:54:52,2
67482808,,BLUE LOCK,3,75184478,10559627,2024-11-03 07:57:40,2024-11-03 07:57:40,2
67482808,,BLUE LOCK,6,75184478,10559630,2024-11-26 03:49:26,2024-11-26 03:49:26,2
68747748,,BLUE LOCK,7,75184478,10559631,2024-12-13 04:48:03,2024-12-13 04:48:03,2
68776964,,BLUE LOCK,8,75184478,10559632,2024-12-13 14:13:01,2024-12-13 14:13:01,2
67482808,,BLUE LOCK,12,75184478,10559636,2024-12-24 12:04:06,2024-12-24 12:04:09,2
67482808,,BLUE LOCK,13,75184478,10559637,2024-12-29 06:46:46,2024-12-29 06:46:46,2
67482808,,BLUE LOCK,14,75184478,10559638,2024-12-29 06:47:16,2024-12-29 06:47:16,2
65449975,,Tower of God,5,75184478,10563860,2024-08-11 09:39:45,2024-08-11 09:39:45,2
68365757,,ONE PIECE (2023),1,75184478,10573348,2026-03-16 14:57:13,2026-03-16 14:57:14,2
69004492,,Shangri-La Frontier,12,75184478,10580467,2024-12-29 14:10:01,2024-12-29 14:10:05,2
69004492,,Shangri-La Frontier,14,75184478,10580469,2025-01-12 12:54:42,2025-01-12 12:54:42,2
69004492,,Shangri-La Frontier,23,75184478,10580478,2025-03-16 17:15:22,2025-03-16 17:15:22,2
65545879,,Squid Game,1,75184478,10617348,2025-04-21 18:06:07,2025-04-21 18:06:07,2
64844343,,Sword Art Online Alternative: Gun Gale Online,1,75184478,10618084,2024-11-02 13:19:42,2024-11-02 13:19:42,2
69065577,,DAN DA DAN,5,75184478,10624772,2024-11-02 13:19:19,2024-11-02 13:19:33,1
69065577,,DAN DA DAN,8,75184478,10624776,2024-11-28 15:09:24,2024-11-28 15:09:24,1
64425734,,"Re: ZERO, Starting Life in Another World",1,75184478,10625037,2024-10-29 15:42:34,2024-10-29 15:42:39,3
64198331,,The Rising of the Shield Hero,1,75184478,10664238,2025-07-13 13:12:54,2025-07-13 13:12:54,4
64425734,,"Re: ZERO, Starting Life in Another World",4,75184478,10669102,2024-11-09 07:57:45,2024-11-09 07:57:45,3
64425734,,"Re: ZERO, Starting Life in Another World",5,75184478,10669103,2024-12-25 12:41:18,2024-12-25 12:41:18,3
64425728,,"Re: ZERO, Starting Life in Another World",9,75184478,10669107,2025-03-05 15:43:57,2025-03-05 15:43:58,3
64425741,,"Re: ZERO, Starting Life in Another World",16,75184478,10669116,2025-05-23 09:24:29,2025-05-23 09:24:29,3
69051162,,Blue Box,2,75184478,10691954,2026-01-10 04:07:48,2026-01-10 04:07:48,1
69051162,,Blue Box,8,75184478,10691960,2026-01-10 12:47:56,2026-01-10 12:47:56,1
64844343,,Sword Art Online Alternative: Gun Gale Online,2,75184478,10713847,2024-11-09 17:33:58,2024-11-09 17:33:58,2
64844343,,Sword Art Online Alternative: Gun Gale Online,8,75184478,10713853,2024-11-23 08:14:59,2024-11-23 08:14:59,2
65111435,,One Piece,36,75184478,10720624,2024-10-12 11:54:20,2024-10-12 11:54:22,22
69051163,,Blue Box,15,75184478,10720984,2026-01-13 17:22:33,2026-01-13 17:22:33,1
69051162,,Blue Box,25,75184478,10720994,2026-01-14 12:06:25,2026-01-14 12:06:25,1
69348822,,Off Campus,1,75184478,10725046,2026-05-18 11:00:30,2026-05-18 11:00:30,1
69063841,,Solo Leveling,2,75184478,10730597,2025-01-11 17:24:15,2025-01-11 17:24:15,2
64562528,,Bleach,27,75184478,10733782,2024-11-09 15:03:47,2024-11-09 15:03:47,17
64562528,,Bleach,28,75184478,10733783,2024-11-13 18:36:13,2024-11-13 18:36:13,17
64562818,,Bleach,29,75184478,10733784,2024-11-20 09:04:34,2024-11-20 09:04:35,17
64562528,,Bleach,30,75184478,10733785,2024-11-26 04:10:16,2024-11-26 04:10:16,17
64562756,,Bleach,34,75184478,10754403,2024-12-31 09:15:14,2024-12-31 09:15:14,17
64923208,,Stranger Things,5,75184478,10788051,2025-12-26 15:53:28,2025-12-26 15:53:30,5
64923220,,Stranger Things,6,75184478,10788052,2025-12-26 15:53:39,2025-12-26 15:53:40,5
64923208,,Stranger Things,7,75184478,10788053,2025-12-26 15:54:01,2025-12-26 15:54:01,5
64923193,,Stranger Things,8,75184478,10788054,2026-01-03 12:26:06,2026-01-03 12:26:06,5
69213474,,SAKAMOTO DAYS,6,75184478,10799922,2025-02-20 08:07:21,2025-02-20 08:07:21,1
69156859,,SAKAMOTO DAYS,9,75184478,10799925,2025-03-12 15:36:49,2025-03-12 15:36:49,1
69213472,,SAKAMOTO DAYS,12,75184478,10799928,2025-08-14 04:26:14,2025-08-14 04:26:14,1
68885715,,The Apothecary Diaries,24,75184478,10842652,2026-01-09 10:37:38,2026-01-09 10:37:38,2
69063841,,Solo Leveling,3,75184478,10843935,2025-01-18 18:15:50,2025-01-18 18:15:50,2
69063841,,Solo Leveling,7,75184478,10843939,2025-02-15 21:12:42,2025-02-15 21:12:42,2
68718040,,Wednesday,4,75184478,10927587,2025-08-26 16:13:50,2025-08-26 16:13:52,2
69316413,,The Beginning After the End,12,75184478,11021549,2025-08-14 04:25:55,2025-08-14 04:25:55,1
69308598,,To Be Hero X,8,75184478,11055680,2025-06-05 16:23:40,2025-06-05 16:23:40,1
69308598,,To Be Hero X,9,75184478,11055682,2025-06-05 16:23:47,2025-06-05 16:23:47,1
69308596,,To Be Hero X,13,75184478,11065312,2025-07-04 03:37:07,2025-07-04 03:37:09,1
65111900,,One Piece,40,75184478,11069448,2025-04-14 11:47:27,2025-04-14 11:47:27,22
69308594,,To Be Hero X,17,75184478,11069546,2025-10-12 16:26:09,2025-10-12 16:26:09,1
69308594,,To Be Hero X,18,75184478,11069547,2025-10-17 17:35:31,2025-10-17 17:35:34,1
69308591,,To Be Hero X,19,75184478,11069548,2025-10-17 17:35:47,2025-10-17 17:35:47,1
69308590,,To Be Hero X,20,75184478,11069549,2025-10-17 17:35:56,2025-10-17 17:35:56,1
69308588,,To Be Hero X,24,75184478,11069553,2025-10-21 07:54:23,2025-10-21 07:54:23,1
69280760,,Takopi's Original Sin,2,75184478,11154060,2025-07-12 19:29:11,2025-07-12 19:29:13,1
65441952,,Alice in Borderland (2020),1,75184478,11156503,2025-09-26 13:18:54,2025-09-26 13:18:54,3
65441952,,Alice in Borderland (2020),3,75184478,11167778,2025-09-26 19:36:16,2025-09-26 19:36:16,3
65111375,,One Piece,46,75184478,11173624,2025-06-05 04:02:25,2025-06-05 04:02:26,22
65111375,,One Piece,47,75184478,11173627,2025-06-08 19:09:22,2025-06-08 19:09:22,22
69030021,,Kaiju No. 8,7,75184478,11209912,2025-09-05 13:15:26,2025-09-05 13:15:26,2
69030011,,Kaiju No. 8,8,75184478,11209913,2025-09-07 17:39:11,2025-09-07 17:39:11,2
69324744,,Gachiakuta,16,75184478,11221454,2025-12-26 18:02:48,2025-12-26 18:02:49,1
69324742,,Gachiakuta,19,75184478,11221457,2026-01-14 12:07:03,2026-01-14 12:07:03,1
