created_at,comment_uuid,type,entity_uuid,user_id,sort_key,movie_name,lang,parent_uuid,replies,text,updated_at,reply_count,comment_id,spoiler_count,image,report_count,entity_type,tenant,inappropriate_count,uuid,is_spoiler,like_count,expires_at,last_read
2024-10-12 07:27:39,83b0cb3a-7114-46c3-a61f-281b658e507b,like,3b02f60b-d8dc-4f0d-ad5d-691284edc5bc,75184478,like-83b0cb3a-7114-46c3-a61f-281b658e507b-75184478,,,,,,,,,,,,,,,,,,,
2024-11-07 09:58:56,84e89d25-81c9-4087-9094-cf451d5dd4f8,like,3bbfe738-8573-4cb0-8d38-6ac4272661fd,75184478,like-84e89d25-81c9-4087-9094-cf451d5dd4f8-75184478,,,,,,,,,,,,,,,,,,,
2024-09-14 17:18:30,8b146347-a085-4dbf-b750-54e55fd3034a,like,41d04485-d66c-4f64-84f2-cc2c6db38b9f,75184478,like-8b146347-a085-4dbf-b750-54e55fd3034a-75184478,,,,,,,,,,,,,,,,,,,
2024-09-14 17:17:27,8e61efc1-9eb6-46aa-9541-127c34cf4f93,like,41d04485-d66c-4f64-84f2-cc2c6db38b9f,75184478,like-8e61efc1-9eb6-46aa-9541-127c34cf4f93-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 17:40:50,91273bcb-f2d0-4612-aa56-4bc806b730dc,like,e6e1d0b2-99f1-4fe0-831e-9809d1af6868,75184478,like-91273bcb-f2d0-4612-aa56-4bc806b730dc-75184478,,,,,,,,,,,,,,,,,,,
2024-11-14 11:01:45,95b9ba1c-83ff-4554-8fb8-f617aaf2c282,like,80b2b838-40fc-4ec1-b500-d4dd0b6ed20d,75184478,like-95b9ba1c-83ff-4554-8fb8-f617aaf2c282-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 03:31:57,98da3f5d-e3d6-48bf-a8aa-aa7a5a8fcab5,like,3d0b84a2-6b30-41cd-bb82-32ffdc6b47d7,75184478,like-98da3f5d-e3d6-48bf-a8aa-aa7a5a8fcab5-75184478,,,,,,,,,,,,,,,,,,,
2024-11-05 07:42:39,9d4ecdd0-55b6-4775-be31-114a0284f4fb,like,77a7c8a8-affe-40b3-a24a-eb425dba43d9,75184478,like-9d4ecdd0-55b6-4775-be31-114a0284f4fb-75184478,,,,,,,,,,,,,,,,,,,
2024-09-16 12:35:26,9f3b10bd-4b5e-445e-b100-0e413684cd1d,like,54bcfd1f-7362-4369-93a8-c19d3064ba27,75184478,like-9f3b10bd-4b5e-445e-b100-0e413684cd1d-75184478,,,,,,,,,,,,,,,,,,,
2025-01-05 02:00:23,a4bd7db9-505e-446f-a35e-6ba9fb8b4b41,like,d71cfc66-8323-4080-b9fe-30043e066cf3,75184478,like-a4bd7db9-505e-446f-a35e-6ba9fb8b4b41-75184478,,,,,,,,,,,,,,,,,,,
2024-10-08 04:43:26,a9c78fd2-a109-4f1f-9ff5-9e68df9ca090,like,a6364841-bac2-45c4-b942-9297828de655,75184478,like-a9c78fd2-a109-4f1f-9ff5-9e68df9ca090-75184478,,,,,,,,,,,,,,,,,,,
2024-11-06 17:41:02,ad272b9e-9240-48f8-9be0-d711f3ee2e7c,like,e6e1d0b2-99f1-4fe0-831e-9809d1af6868,75184478,like-ad272b9e-9240-48f8-9be0-d711f3ee2e7c-75184478,,,,,,,,,,,,,,,,,,,
2024-11-07 09:57:41,b1157a25-f486-4676-9ef2-f42fa8a20474,like,e49d5f5a-c7f0-4d42-89ac-57d07212fef1,75184478,like-b1157a25-f486-4676-9ef2-f42fa8a20474-75184478,,,,,,,,,,,,,,,,,,,
2024-11-07 09:58:34,b2b3b351-7216-433b-8dd6-758940ae3a58,like,3bbfe738-8573-4cb0-8d38-6ac4272661fd,75184478,like-b2b3b351-7216-433b-8dd6-758940ae3a58-75184478,,,,,,,,,,,,,,,,,,,
2024-09-26 10:44:23,c4ef3bc1-9536-406a-bca1-12f566df4fcd,like,2eb1847d-b4b8-416b-a939-c19e7c64a010,75184478,like-c4ef3bc1-9536-406a-bca1-12f566df4fcd-75184478,,,,,,,,,,,,,,,,,,,
2024-09-16 12:36:06,ca56482f-3d55-4457-a9f6-46e1d06c40fd,like,54bcfd1f-7362-4369-93a8-c19d3064ba27,75184478,like-ca56482f-3d55-4457-a9f6-46e1d06c40fd-75184478,,,,,,,,,,,,,,,,,,,
