user_id,tv_show_id,episode_id,created_at,updated_at,tv_show_name
75184478,293088,11367845,2025-10-15 11:50:22,2025-11-27 15:22:35,One-Punch Man
75184478,293267,5315051,2026-01-10 06:52:13,2026-01-15 06:41:16,Prison School
75184478,295685,6922792,2024-11-25 17:09:08,2024-11-28 10:20:34,Lucifer
75184478,305074,11377555,2024-05-09 10:27:45,2025-12-31 12:31:08,My Hero Academia
75184478,305075,5556691,2024-09-16 19:38:32,2024-11-09 15:11:43,Bungo Stray Dogs
75184478,305089,11714313,2024-10-29 15:41:54,2026-06-19 09:35:48,"Re: ZERO, Starting Life in Another World"
75184478,305288,10788054,2025-11-29 22:11:38,2026-01-06 01:25:22,Stranger Things
75184478,327417,6468121,2025-07-11 09:53:24,2025-07-16 14:11:31,Money Heist
75184478,329822,11704266,2024-01-03 19:26:55,2026-06-26 11:50:45,Classroom of the Elite
75184478,334824,7605180,2024-09-16 14:54:21,2024-10-17 12:33:53,Dark
75184478,335815,10713857,2024-11-02 13:27:15,2025-01-14 15:50:26,Sword Art Online Alternative: Gun Gale Online
75184478,339076,7601488,2024-02-02 04:10:34,2024-02-02 04:15:29,Beyblade Burst
75184478,342635,10200218,2023-12-24 05:32:23,2023-12-24 05:32:23,Flames
75184478,345596,6895534,2025-06-18 20:12:31,2025-08-27 23:44:11,Rascal Does Not Dream of Bunny Girl Senpai
75184478,348545,10445769,2024-05-14 22:41:32,2024-06-27 16:33:07,Demon Slayer: Kimetsu no Yaiba
75184478,348742,7767348,2024-04-02 16:47:36,2026-01-05 23:03:03,Baki (2018)
75184478,352408,11696735,2024-06-28 12:32:35,2026-06-26 11:50:44,That Time I Got Reincarnated as a Slime
75184478,353712,11192852,2025-07-16 02:52:32,2025-12-14 02:19:26,The Rising of the Shield Hero
75184478,354198,7414201,2024-08-14 04:47:31,2024-11-25 17:08:49,Kaguya-sama: Love Is War
75184478,354808,7551164,2023-12-22 07:29:38,2023-12-22 07:29:38,Mirzapur
75184478,355480,7809229,2025-07-08 11:22:52,2025-10-11 17:34:05,Fire Force
75184478,355567,10297575,2024-07-15 16:02:15,2024-09-14 21:02:58,The Boys
75184478,355774,11728112,2023-12-22 06:43:04,2026-06-26 13:10:50,Dr. STONE
75184478,355966,8128421,2026-06-19 04:58:32,2026-06-23 21:11:28,The Quintessential Quintuplets
75184478,357888,11073321,2025-12-23 01:40:04,2026-01-25 02:35:55,"Love, Death & Robots"
75184478,360534,7070465,2023-12-22 06:42:07,2023-12-22 06:44:31,Sword Art Online: Alicization
75184478,362472,9794219,2025-10-05 02:06:40,2026-04-16 00:32:20,Loki
75184478,362631,10521722,2024-07-02 09:47:39,2024-07-16 19:29:19,Kota Factory
75184478,362696,7428574,2024-01-26 14:09:21,2024-02-21 13:21:48,The Witcher
75184478,367147,8286962,2023-12-22 10:38:06,2026-01-01 07:25:53,What If…?
75184478,369026,7341875,2024-10-16 08:35:41,2024-10-16 11:12:50,Uzumaki
75184478,369144,11655491,2025-10-20 16:14:48,2026-07-02 07:14:31,Welcome to Demon School! Iruma-kun
75184478,371028,8723898,2024-11-14 11:39:18,2024-12-09 11:48:34,Arcane
75184478,371310,9885762,2024-05-21 14:09:19,2024-08-27 14:17:02,Mushoku Tensei: Jobless Reincarnation
75184478,376472,11167781,2025-09-29 08:47:40,2025-09-30 00:20:55,Alice in Borderland (2020)
75184478,376729,10563863,2024-07-17 03:16:09,2025-10-11 08:07:11,Tower of God
75184478,377543,11547982,2023-12-30 02:31:58,2026-04-16 14:46:52,JUJUTSU KAISEN
75184478,378609,8722573,2026-06-26 02:09:51,2026-07-02 07:14:31,86: Eighty Six
